
> yaya-prototype@0.1.0 dev:web
> next dev

▲ Next.js 16.2.1 (Turbopack)
- Local:         http://localhost:3000
- Network:       http://10.24.74.123:3000
- Environments: .env.local, .env
 GET / 200 in 365ms (next.js: 90ms, application-code: 275ms)
 GET / 200 in 213ms (next.js: 18ms, application-code: 195ms)
 GET / 200 in 185ms (next.js: 13ms, application-code: 172ms)
 GET / 200 in 124ms (next.js: 7ms, application-code: 117ms)
 GET / 200 in 124ms (next.js: 28ms, application-code: 96ms)
 GET / 200 in 144ms (next.js: 45ms, application-code: 100ms)
 GET / 200 in 122ms (next.js: 35ms, application-code: 87ms)
 GET / 200 in 90ms (next.js: 6ms, application-code: 84ms)
 GET / 200 in 152ms (next.js: 6ms, application-code: 146ms)
 GET / 200 in 195ms (next.js: 3ms, application-code: 192ms)
 GET / 200 in 197ms (next.js: 6ms, application-code: 192ms)
 GET / 200 in 198ms (next.js: 21ms, application-code: 177ms)
 GET / 200 in 199ms (next.js: 45ms, application-code: 153ms)
 GET / 200 in 142ms (next.js: 5ms, application-code: 137ms)
 GET / 200 in 48ms (next.js: 8ms, application-code: 41ms)
 GET / 200 in 38ms (next.js: 3ms, application-code: 35ms)
 GET / 200 in 19ms (next.js: 3ms, application-code: 16ms)
✓ Compiled in 51ms
 GET /api/health 200 in 60ms (next.js: 42ms, application-code: 18ms)
 POST /api/import 200 in 106ms (next.js: 82ms, application-code: 24ms)
 GET /api/agent/scan/discord 200 in 1084ms (next.js: 743ms, application-code: 341ms)
 GET /api/agent/scan/wechat 200 in 1720ms (next.js: 775ms, application-code: 946ms)
 GET /api/agent/scan/discord 200 in 672ms (next.js: 25ms, application-code: 648ms)
✓ Compiled in 44ms
 GET /api/health 200 in 118ms (next.js: 3ms, application-code: 115ms)
 POST /api/import 200 in 15ms (next.js: 5ms, application-code: 10ms)
✓ Compiled in 337ms
 GET / 500 in 2.2s (next.js: 2.0s, application-code: 190ms)
 GET / 500 in 42ms (next.js: 17ms, application-code: 25ms)
 GET / 500 in 31ms (next.js: 9ms, application-code: 22ms)
 GET / 500 in 46ms (next.js: 17ms, application-code: 29ms)
 GET / 500 in 37ms (next.js: 20ms, application-code: 17ms)
 GET / 500 in 65ms (next.js: 32ms, application-code: 33ms)
✓ Compiled in 333ms
 GET / 200 in 301ms (next.js: 199ms, application-code: 102ms)
 GET /api/health 200 in 179ms (next.js: 111ms, application-code: 68ms)
 POST /api/import 200 in 52ms (next.js: 40ms, application-code: 12ms)
 GET / 200 in 56ms (next.js: 12ms, application-code: 44ms)
 GET /api/health 200 in 40ms (next.js: 13ms, application-code: 27ms)
 POST /api/import 200 in 15ms (next.js: 4ms, application-code: 10ms)
 GET /api/agent/scan/discord 200 in 300ms (next.js: 119ms, application-code: 181ms)
 POST /api/import 200 in 31ms (next.js: 6ms, application-code: 24ms)
 GET /api/agent/scan/wechat 200 in 301ms (next.js: 30ms, application-code: 272ms)
 POST /api/import 200 in 28ms (next.js: 6ms, application-code: 21ms)
 GET /api/agent/scan/discord 200 in 230ms (next.js: 26ms, application-code: 205ms)
 POST /api/import 200 in 25ms (next.js: 6ms, application-code: 19ms)
 POST /api/import 200 in 22ms (next.js: 4ms, application-code: 18ms)
 POST /api/import 200 in 20ms (next.js: 7ms, application-code: 13ms)
 POST /api/import 200 in 20ms (next.js: 5ms, application-code: 15ms)
 POST /api/import 200 in 18ms (next.js: 4ms, application-code: 14ms)
 POST /api/import 200 in 33ms (next.js: 8ms, application-code: 25ms)
 POST /api/import 200 in 19ms (next.js: 4ms, application-code: 15ms)
 POST /api/import 200 in 20ms (next.js: 11ms, application-code: 10ms)
 POST /api/import 200 in 18ms (next.js: 4ms, application-code: 14ms)
 POST /api/import 200 in 17ms (next.js: 5ms, application-code: 12ms)
 POST /api/import 200 in 19ms (next.js: 8ms, application-code: 11ms)
 POST /api/import 200 in 23ms (next.js: 5ms, application-code: 18ms)
 POST /api/import 200 in 21ms (next.js: 5ms, application-code: 15ms)
 POST /api/import 200 in 24ms (next.js: 4ms, application-code: 20ms)
 POST /api/import 200 in 22ms (next.js: 1887µs, application-code: 20ms)
 POST /api/import 200 in 16ms (next.js: 5ms, application-code: 11ms)
 POST /api/import 200 in 23ms (next.js: 4ms, application-code: 20ms)
 POST /api/import 200 in 16ms (next.js: 3ms, application-code: 13ms)
 POST /api/import 200 in 9ms (next.js: 3ms, application-code: 7ms)
 POST /api/import 200 in 16ms (next.js: 3ms, application-code: 13ms)
 POST /api/import 200 in 29ms (next.js: 12ms, application-code: 17ms)
 POST /api/import 200 in 25ms (next.js: 9ms, application-code: 16ms)
 POST /api/import 200 in 24ms (next.js: 5ms, application-code: 19ms)
 GET /api/agent/scan/wechat 200 in 265ms (next.js: 19ms, application-code: 246ms)
 POST /api/import 200 in 14ms (next.js: 3ms, application-code: 11ms)
 GET /api/agent/scan/discord 200 in 166ms (next.js: 18ms, application-code: 148ms)
 PUT /api/import 200 in 40ms (next.js: 7ms, application-code: 33ms)
 POST /api/import 200 in 32ms (next.js: 4ms, application-code: 27ms)
 PUT /api/import 200 in 33ms (next.js: 9ms, application-code: 24ms)
 POST /api/import 200 in 22ms (next.js: 5ms, application-code: 17ms)
 GET /api/agent/scan/wechat 200 in 286ms (next.js: 24ms, application-code: 262ms)
 POST /api/import 200 in 39ms (next.js: 8ms, application-code: 31ms)
 GET /api/agent/scan/discord 200 in 192ms (next.js: 27ms, application-code: 165ms)
✓ Compiled in 174ms
 GET / 500 in 44ms (next.js: 25ms, application-code: 19ms)
 GET / 500 in 49ms (next.js: 9ms, application-code: 40ms)
 GET / 500 in 102ms (next.js: 75ms, application-code: 27ms)
 GET / 500 in 86ms (next.js: 8ms, application-code: 78ms)
 GET / 500 in 66ms (next.js: 33ms, application-code: 33ms)
 GET / 500 in 27ms (next.js: 12ms, application-code: 15ms)
 GET / 500 in 21ms (next.js: 8ms, application-code: 13ms)
 GET / 500 in 83ms (next.js: 9ms, application-code: 75ms)
 GET / 500 in 37ms (next.js: 20ms, application-code: 17ms)
 GET / 500 in 232ms (next.js: 30ms, application-code: 202ms)
 GET / 500 in 57ms (next.js: 37ms, application-code: 20ms)
 GET / 500 in 85ms (next.js: 65ms, application-code: 19ms)
✓ Compiled in 280ms
 GET / 200 in 643ms (next.js: 146ms, application-code: 496ms)
 GET / 200 in 142ms (next.js: 17ms, application-code: 125ms)
 GET /api/health 200 in 86ms (next.js: 55ms, application-code: 32ms)
 GET /api/health 200 in 19ms (next.js: 6ms, application-code: 13ms)
 GET / 200 in 129ms (next.js: 13ms, application-code: 116ms)
 GET /api/health 200 in 20ms (next.js: 6ms, application-code: 14ms)
✓ Compiled in 0ms
 GET /api/agent/scan/discord 200 in 341ms (next.js: 80ms, application-code: 261ms)
 PUT /api/import 200 in 152ms (next.js: 138ms, application-code: 14ms)
 PUT /api/import 200 in 25ms (next.js: 7ms, application-code: 18ms)
 GET /api/health 200 in 18ms (next.js: 8ms, application-code: 10ms)
 GET /api/health 200 in 15ms (next.js: 3ms, application-code: 11ms)
✓ Compiled in 35ms
 GET /api/agent/scan/discord 200 in 145ms (next.js: 11ms, application-code: 134ms)
 PUT /api/import 200 in 15ms (next.js: 4ms, application-code: 10ms)
✓ Compiled in 102ms
 GET / 500 in 37ms (next.js: 22ms, application-code: 14ms)
 GET / 500 in 54ms (next.js: 12ms, application-code: 42ms)
 GET / 500 in 23ms (next.js: 11ms, application-code: 13ms)
 GET / 500 in 34ms (next.js: 21ms, application-code: 13ms)
 GET / 500 in 21ms (next.js: 9ms, application-code: 12ms)
 GET / 500 in 17ms (next.js: 7ms, application-code: 10ms)
 GET / 500 in 17ms (next.js: 7ms, application-code: 10ms)
 GET / 500 in 44ms (next.js: 7ms, application-code: 37ms)
 GET / 500 in 29ms (next.js: 11ms, application-code: 19ms)
 GET / 500 in 25ms (next.js: 10ms, application-code: 15ms)
 GET / 500 in 35ms (next.js: 24ms, application-code: 11ms)
 GET / 500 in 179ms (next.js: 142ms, application-code: 37ms)
✓ Compiled in 220ms
 GET / 200 in 315ms (next.js: 101ms, application-code: 214ms)
 GET / 200 in 86ms (next.js: 5ms, application-code: 81ms)
 GET /api/health 200 in 118ms (next.js: 50ms, application-code: 67ms)
 GET /api/health 200 in 13ms (next.js: 3ms, application-code: 10ms)
 GET / 200 in 236ms (next.js: 88ms, application-code: 147ms)
 GET / 200 in 177ms (next.js: 20ms, application-code: 157ms)
 GET / 200 in 103ms (next.js: 9ms, application-code: 94ms)
 GET / 200 in 61ms (next.js: 5ms, application-code: 56ms)
 GET / 200 in 61ms (next.js: 31ms, application-code: 30ms)
 GET / 200 in 34ms (next.js: 4ms, application-code: 30ms)
 GET / 200 in 30ms (next.js: 5ms, application-code: 25ms)
